"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 8","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 1","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 5","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 7","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 2","0"
"0","Заказ самоката","0","Позитивный сценарий заказа","1","0","Заказ через верхнюю кнопку с набором 1","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 4","0"
"0","Главная страница","0","Редиректы","1","0","Клик по логотипу Самоката ведет на главную","0"
"0","Заказ самоката","0","Позитивный сценарий заказа","1","0","Заказ через нижнюю кнопку с набором 2","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 6","0"
"0","Главная страница","0","Блок 'Вопросы о важном'","1","0","Проверка вопроса 3","0"
"0","Главная страница","0","Редиректы","1","0","Клик по логотипу Яндекса открывает Дзен/Яндекс","0"
